ESTADO,Deputado,Partido,Voto
RORAIMA,Abel Mesquita Jr.,DEM,Sim
RORAIMA,Edio Lopes,PR,Sim
RORAIMA,Hiran Gonçalves,PP,Sim
RORAIMA,Jhonatan de Jesus,PRB,Sim
RORAIMA,Maria Helena,PSB,Sim
RORAIMA,Remídio Monai,PR,Sim
RORAIMA,Shéridan,PSDB,Sim
AMAPÁ,André Abdon,PP,Sim
AMAPÁ,Janete Capiberibe,PSB,Não
AMAPÁ,Jozi Araújo,PTN,Sim
AMAPÁ,Marcos Reategui,PSD,Sim
AMAPÁ,Professora Marcivania,PCdoB,Não
PARÁ,Arnaldo Jordy,PPS,Não
PARÁ,Beto Faro,PT,Não
PARÁ,Beto Salame,PP,Não
PARÁ,Edmilson Rodrigues,PSOL,Não
PARÁ,Francisco Chapadinha,PTN,Sim
PARÁ,Hélio Leite,DEM,Sim
PARÁ,Joaquim Passarinho,PSD,Sim
PARÁ,José Priante,PMDB,Sim
PARÁ,Josué Bengtson,PTB,Sim
PARÁ,Júlia Marinho,PSC,Sim
PARÁ,Lúcio Vale,PR,Sim
PARÁ,Nilson Pinto,PSDB,Sim
PARÁ,Simone Morgado,PMDB,Não
PARÁ,Wladimir Costa,Solidaried,Sim
PARÁ,Zé Geraldo,PT,Não
AMAZONAS,Alfredo Nascimento,PR,Não
AMAZONAS,Arthur Virgílio Bisneto,PSDB,Não
AMAZONAS,Átila Lins,PSD,Sim
AMAZONAS,Conceição Sampaio,PP,Não
AMAZONAS,Hissa Abrahão,PDT,Não
AMAZONAS,Pauderney Avelino,DEM,Sim
AMAZONAS,Sabino Castelo Branco,PTB,Sim
AMAZONAS,Silas Câmara,PRB,Sim
RONDONIA,Expedito Netto,PSD,Não
RONDONIA,Lindomar Garçon,PRB,Sim
RONDONIA,Marcos Rogério,DEM,Não
RONDONIA,Mariana Carvalho,PSDB,Não
RONDONIA,Marinha Raupp,PMDB,Sim
RONDONIA,Nilton Capixaba,PTB,Sim
ACRE,Alan Rick,PRB,Não
ACRE,Angelim,PT,Não
ACRE,César Messias,PSB,Sim
ACRE,Flaviano Melo,PMDB,Sim
ACRE,Jéssica Sales,PMDB,Não
ACRE,Leo de Brito,PT,Não
ACRE,Moisés Diniz,PCdoB,Não
