ESTADO,Deputado,Partido,Voto
RORAIMA,Abel Mesquita Jr.,DEM,Sim
RORAIMA,Carlos Andrade,PHS,Não
RORAIMA,Jhonatan de Jesus,PRB,Sim
RORAIMA,Maria Helena,PSB,Sim
RORAIMA,Remídio Monai,PR,Sim
RORAIMA,Shéridan,PSDB,Sim
RIO GRANDE DO SUL,Afonso Hamm,PP,Sim
RIO GRANDE DO SUL,Afonso Motta,PDT,Sim
RIO GRANDE DO SUL,Alceu Moreira,PMDB,Sim
RIO GRANDE DO SUL,Bohn Gass,PT,Sim
RIO GRANDE DO SUL,Cajar Nardes,PR,Sim
RIO GRANDE DO SUL,Carlos Gomes,PRB,Sim
RIO GRANDE DO SUL,Covatti Filho,PP,Sim
RIO GRANDE DO SUL,Danrlei de Deus Hinterholz,PSD,Sim
RIO GRANDE DO SUL,Darcísio Perondi,PMDB,Sim
RIO GRANDE DO SUL,Giovani Cherini,PR,Sim
RIO GRANDE DO SUL,Heitor Schuch,PSB,Sim
RIO GRANDE DO SUL,Henrique Fontana,PT,Sim
RIO GRANDE DO SUL,Jerônimo Goergen,PP,Sim
RIO GRANDE DO SUL,João Derly,REDE,Sim
RIO GRANDE DO SUL,Jones Martins,PMDB,Sim
RIO GRANDE DO SUL,José Fogaça,PMDB,Sim
RIO GRANDE DO SUL,José Otávio Germano,PP,Sim
RIO GRANDE DO SUL,Jose Stédile,PSB,Sim
RIO GRANDE DO SUL,Luis Carlos Heinze,PP,Sim
RIO GRANDE DO SUL,Luiz Carlos Busato,PTB,Sim
RIO GRANDE DO SUL,Marco Maia,PT,Sim
RIO GRANDE DO SUL,Marcon,PT,Sim
RIO GRANDE DO SUL,Maria do Rosário,PT,Sim
RIO GRANDE DO SUL,Mauro Pereira,PMDB,Sim
RIO GRANDE DO SUL,Nelson Marchezan Junior,PSDB,Sim
RIO GRANDE DO SUL,Onyx Lorenzoni,DEM,Sim
RIO GRANDE DO SUL,Paulo Pimenta,PT,Sim
RIO GRANDE DO SUL,Pepe Vargas,PT,Sim
RIO GRANDE DO SUL,Pompeo de Mattos,PDT,Sim
RIO GRANDE DO SUL,Renato Molling,PP,Sim
SANTA CATARINA,Angela Albino,PCdoB,Sim
SANTA CATARINA,Carmen Zanotto,PPS,Sim
SANTA CATARINA,Celso Maldaner,PMDB,Sim
SANTA CATARINA,Décio Lima,PT,Sim
SANTA CATARINA,Edinho Bez,PMDB,Sim
SANTA CATARINA,Esperidião Amin,PP,Sim
SANTA CATARINA,Geovania de Sá,PSDB,Sim
SANTA CATARINA,João Rodrigues,PSD,Sim
SANTA CATARINA,Jorge Boeira,PP,Sim
SANTA CATARINA,Jorginho Mello,PR,Sim
SANTA CATARINA,Marco Tebaldi,PSDB,Sim
SANTA CATARINA,Mauro Mariani,PMDB,Sim
SANTA CATARINA,Pedro Uczai,PT,Sim
SANTA CATARINA,Ronaldo Benedet,PMDB,Sim
SANTA CATARINA,Valdir Colatto,PMDB,Sim
AMAPÁ,André Abdon,PP,Sim
AMAPÁ,Cabuçu Borges,PMDB,Sim
AMAPÁ,Janete Capiberibe,PSB,Sim
AMAPÁ,Jozi Araújo,PTN,Não
AMAPÁ,Professora Marcivania,PCdoB,Sim
PARÁ,Arnaldo Jordy,PPS,Sim
PARÁ,Beto Faro,PT,Sim
PARÁ,Beto Salame,PP,Sim
PARÁ,Delegado Éder Mauro,PSD,Sim
PARÁ,Edmilson Rodrigues,PSOL,Sim
PARÁ,Elcione Barbalho,PMDB,Sim
PARÁ,Francisco Chapadinha,PTN,Sim
PARÁ,Hélio Leite,DEM,Sim
PARÁ,Joaquim Passarinho,PSD,Sim
PARÁ,Júlia Marinho,PSC,Não
PARÁ,Lúcio Vale,PR,Sim
PARÁ,Nilson Pinto,PSDB,Sim
PARÁ,Simone Morgado,PMDB,Sim
PARÁ,Wladimir Costa,Solidaried,Sim
PARÁ,Zé Geraldo,PT,Sim
PARANÁ,Alex Canziani,PTB,Sim
PARANÁ,Alfredo Kaefer,PSL,Abstenção
PARANÁ,Aliel Machado,REDE,Sim
PARANÁ,Assis do Couto,PDT,Sim
PARANÁ,Christiane de Souza Yared,PR,Sim
PARANÁ,Diego Garcia,PHS,Sim
PARANÁ,Dilceu Sperafico,PP,Sim
PARANÁ,Edmar Arruda,PSD,Sim
PARANÁ,Enio Verri,PT,Sim
PARANÁ,Evandro Roman,PSD,Sim
PARANÁ,Giacobo,PR,Sim
PARANÁ,Hermes Parcianello,PMDB,Sim
PARANÁ,João Arruda,PMDB,Sim
PARANÁ,Leandre,PV,Sim
PARANÁ,Leopoldo Meyer,PSB,Sim
PARANÁ,Luciano Ducci,PSB,Sim
PARANÁ,Luiz Carlos Hauly,PSDB,Sim
PARANÁ,Luiz Nishimori,PR,Sim
PARANÁ,Marcelo Belinati,PP,Sim
PARANÁ,Nelson Meurer,PP,Abstenção
PARANÁ,Nelson Padovani,PSDB,Sim
PARANÁ,Osmar Serraglio,PMDB,Sim
PARANÁ,Paulo Martins,PSDB,Sim
PARANÁ,Rubens Bueno,PPS,Sim
PARANÁ,Sandro Alex,PSD,Sim
PARANÁ,Sergio Souza,PMDB,Sim
PARANÁ,Zeca Dirceu,PT,Sim
MATO GROSSO DO SUL,Carlos Marun,PMDB,Não
MATO GROSSO DO SUL,Dagoberto,PDT,Sim
MATO GROSSO DO SUL,Elizeu Dionizio,PSDB,Sim
MATO GROSSO DO SUL,Geraldo Resende,PSDB,Sim
MATO GROSSO DO SUL,Mandetta,DEM,Sim
MATO GROSSO DO SUL,Tereza Cristina,PSB,Sim
MATO GROSSO DO SUL,Vander Loubet,PT,Sim
MATO GROSSO DO SUL,Zeca do Pt,PT,Sim
AMAZONAS,Alfredo Nascimento,PR,Sim
AMAZONAS,Arthur Virgílio Bisneto,PSDB,Sim
AMAZONAS,Átila Lins,PSD,Sim
AMAZONAS,Conceição Sampaio,PP,Sim
AMAZONAS,Hissa Abrahão,PDT,Sim
AMAZONAS,Marcos Rotta,PMDB,Sim
AMAZONAS,Pauderney Avelino,DEM,Sim
AMAZONAS,Silas Câmara,PRB,Sim
RONDONIA,Expedito Netto,PSD,Sim
RONDONIA,Lucio Mosquini,PMDB,Sim
RONDONIA,Luiz Cláudio,PR,Sim
RONDONIA,Marcos Rogério,DEM,Sim
RONDONIA,Mariana Carvalho,PSDB,Sim
RONDONIA,Marinha Raupp,PMDB,Sim
RONDONIA,Nilton Capixaba,PTB,Sim
GOIÁS,Célio Silveira,PSDB,Sim
GOIÁS,Daniel Vilela,PMDB,Sim
GOIÁS,Delegado Waldir,PR,Sim
GOIÁS,Fábio Sousa,PSDB,Sim
GOIÁS,Flávia Morais,PDT,Sim
GOIÁS,Giuseppe Vecci,PSDB,Sim
GOIÁS,João Campos,PRB,Sim
GOIÁS,Lucas Vergilio,Solidaried,Sim
GOIÁS,Magda Mofatto,PR,Sim
GOIÁS,Marcos Abrão,PPS,Sim
GOIÁS,Roberto Balestra,PP,Sim
GOIÁS,Rubens Otoni,PT,Sim
GOIÁS,Sandes Júnior,PP,Sim
GOIÁS,Thiago Peixoto,PSD,Sim
DISTRITO FEDERAL,Alberto Fraga,DEM,Sim
DISTRITO FEDERAL,Augusto Carvalho,Solidaried,Sim
DISTRITO FEDERAL,Erika Kokay,PT,Sim
DISTRITO FEDERAL,Izalci,PSDB,Sim
DISTRITO FEDERAL,Laerte Bessa,PR,Abstenção
DISTRITO FEDERAL,Rogério Rosso,PSD,Sim
DISTRITO FEDERAL,Ronaldo Fonseca,PROS,Sim
DISTRITO FEDERAL,Rôney Nemer,PP,Abstenção
ACRE,Alan Rick,PRB,Sim
ACRE,Angelim,PT,Sim
ACRE,César Messias,PSB,Sim
ACRE,Flaviano Melo,PMDB,Sim
ACRE,Leo de Brito,PT,Sim
ACRE,Moisés Diniz,PCdoB,Sim
ACRE,Rocha,PSDB,Sim
TOCANTINS,Carlos Henrique Gaguim,PTN,Sim
TOCANTINS,César Halum,PRB,Sim
TOCANTINS,Dulce Miranda,PMDB,Sim
TOCANTINS,Irajá Abreu,PSD,Sim
TOCANTINS,Josi Nunes,PMDB,Sim
TOCANTINS,Lázaro Botelho,PP,Sim
TOCANTINS,Professora Dorinha Seabra Rezende,DEM,Sim
TOCANTINS,Vicentinho Júnior,PR,Sim
MATO GROSSO,Adilton Sachetti,PSB,Sim
MATO GROSSO,Carlos Bezerra,PMDB,Sim
MATO GROSSO,Ezequiel Fonseca,PP,Sim
MATO GROSSO,Fabio Garcia,PSB,Sim
MATO GROSSO,Nilson Leitão,PSDB,Sim
MATO GROSSO,Ságuas Moraes,PT,Sim
MATO GROSSO,Tampinha,PSD,Sim
MATO GROSSO,Valtenir Pereira,PMDB,Sim
SÃO PAULO,Alex Manente,PPS,Sim
SÃO PAULO,Alexandre Leite,DEM,Sim
SÃO PAULO,Ana Perugini,PT,Sim
SÃO PAULO,Andres Sanchez,PT,Sim
SÃO PAULO,Antonio Bulhões,PRB,Sim
SÃO PAULO,Antonio Carlos Mendes Thame,PV,Sim
SÃO PAULO,Arlindo Chinaglia,PT,Sim
SÃO PAULO,Arnaldo Faria de Sá,PTB,Sim
SÃO PAULO,Baleia Rossi,PMDB,Sim
SÃO PAULO,Beto Mansur,PRB,Sim
SÃO PAULO,Bruna Furlan,PSDB,Sim
SÃO PAULO,Bruno Covas,PSDB,Sim
SÃO PAULO,Capitão Augusto,PR,Sim
SÃO PAULO,Carlos Sampaio,PSDB,Sim
SÃO PAULO,Carlos Zarattini,PT,Sim
SÃO PAULO,Celso Russomanno,PRB,Sim
SÃO PAULO,Duarte Nogueira,PSDB,Sim
SÃO PAULO,Edinho Araújo,PMDB,Sim
SÃO PAULO,Eduardo Bolsonaro,PSC,Sim
SÃO PAULO,Eduardo Cury,PSDB,Sim
SÃO PAULO,Eli Corrêa Filho,DEM,Sim
SÃO PAULO,Evandro Gussi,PV,Sim
SÃO PAULO,Fausto Pinato,PP,Sim
SÃO PAULO,Flavinho,PSB,Sim
SÃO PAULO,Goulart,PSD,Sim
SÃO PAULO,Herculano Passos,PSD,Sim
SÃO PAULO,Ivan Valente,PSOL,Sim
SÃO PAULO,Jefferson Campos,PSD,Sim
SÃO PAULO,João Paulo Papa,PSDB,Sim
SÃO PAULO,Jorge Tadeu Mudalen,DEM,Sim
SÃO PAULO,José Mentor,PT,Sim
SÃO PAULO,Keiko Ota,PSB,Sim
SÃO PAULO,Lobbe Neto,PSDB,Sim
SÃO PAULO,Luiz Lauro Filho,PSB,Sim
SÃO PAULO,Luiza Erundina,PSOL,Sim
SÃO PAULO,Major Olimpio,Solidaried,Sim
SÃO PAULO,Mara Gabrilli,PSDB,Sim
SÃO PAULO,Marcelo Aguiar,DEM,Sim
SÃO PAULO,Marcelo Squassoni,PRB,Sim
SÃO PAULO,Marcio Alvino,PR,Sim
SÃO PAULO,Miguel Haddad,PSDB,Sim
SÃO PAULO,Miguel Lombardi,PR,Sim
SÃO PAULO,Milton Monti,PR,Sim
SÃO PAULO,Missionário José Olimpio,DEM,Sim
SÃO PAULO,Nilto Tatto,PT,Sim
SÃO PAULO,Orlando Silva,PCdoB,Sim
SÃO PAULO,Paulo Freire,PR,Sim
SÃO PAULO,Paulo Maluf,PP,Sim
SÃO PAULO,Paulo Pereira da Silva,Solidaried,Não
SÃO PAULO,Paulo Teixeira,PT,Sim
SÃO PAULO,Pr. Marco Feliciano,PSC,Não
SÃO PAULO,Renata Abreu,PTN,Sim
SÃO PAULO,Ricardo Izar,PP,Sim
SÃO PAULO,Ricardo Tripoli,PSDB,Sim
SÃO PAULO,Roberto Alves,PRB,Sim
SÃO PAULO,Roberto de Lucena,PV,Sim
SÃO PAULO,Roberto Freire,PPS,Sim
