ESTADO,Deputado,Partido,Voto
RORAIMA,Abel Mesquita Jr.,DEM,Sim
RORAIMA,Carlos Andrade,PHS,Não
RORAIMA,Edio Lopes,PR,Sim
RORAIMA,Hiran Gonçalves,PP,Sim
RORAIMA,Jhonatan de Jesus,PRB,Sim
RORAIMA,Maria Helena,PSB,Sim
RORAIMA,Remídio Monai,PR,Sim
RORAIMA,Shéridan,PSDB,Ausente
AMAPÁ,André Abdon,PP,Sim
AMAPÁ,Cabuçu Borges,PMDB,Sim
AMAPÁ,Janete Capiberibe,PSB,Não
AMAPÁ,Jozi  Araújo,PODE,Sim
AMAPÁ,Marcos Reategui,PSD,Ausente
AMAPÁ,Professora Marcivania,PCdoB,Não
AMAPÁ,Roberto Góes,PDT,Sim
AMAPÁ,Vinicius Gurgel,PR,Sim
PARÁ,Arnaldo Jordy,PPS,Não
PARÁ,Beto Faro,PT,Não
PARÁ,Beto Salame,PP,Sim
PARÁ,Delegado Éder Mauro,PSD,Sim
PARÁ,Edmilson Rodrigues,PSOL,Não
PARÁ,Elcione Barbalho,PMDB,Sim
PARÁ,Francisco Chapadinha,PODE,Sim
PARÁ,Hélio Leite,DEM,Sim
PARÁ,Joaquim Passarinho,PSD,Não
PARÁ,José Priante,PMDB,Sim
PARÁ,Josué Bengtson,PTB,Sim
PARÁ,Júlia Marinho,PSC,Sim
PARÁ,Lúcio Vale,PR,Sim
PARÁ,Nilson Pinto,PSDB,Sim
PARÁ,Simone Morgado,PMDB,Sim
PARÁ,Wladimir Costa,Solidaried,Sim
PARÁ,Zé Geraldo,PT,Não
AMAZONAS,Alfredo Nascimento,PR,Sim
AMAZONAS,Arthur Virgílio Bisneto,PSDB,Sim
AMAZONAS,Átila Lins,PSD,Sim
AMAZONAS,Conceição Sampaio,PP,Não
AMAZONAS,Hissa Abrahão,PDT,Não
AMAZONAS,Pauderney Avelino,DEM,Sim
AMAZONAS,Sabino Castelo Branco,PTB,Sim
AMAZONAS,Silas Câmara,PRB,Sim
RONDONIA,Expedito Netto,PSD,Não
RONDONIA,Lindomar Garçon,PRB,Sim
RONDONIA,Lucio Mosquini,PMDB,Sim
RONDONIA,Luiz Cláudio,PR,Sim
RONDONIA,Marcos Rogério,DEM,Não
RONDONIA,Mariana Carvalho,PSDB,Não
RONDONIA,Marinha Raupp,PMDB,Sim
RONDONIA,Nilton Capixaba,PTB,Sim
ACRE,Alan Rick,DEM,Não
ACRE,Angelim,PT,Não
ACRE,César Messias,PSB,Não
ACRE,Flaviano Melo,PMDB,Sim
ACRE,Jéssica Sales,PMDB,Sim
ACRE,Leo de Brito,PT,Não
ACRE,Moisés Diniz,PCdoB,Não
ACRE,Rocha,PSDB,Não
TOCANTINS,Carlos Henrique Gaguim,PODE,Sim
TOCANTINS,César Halum,PRB,Não
TOCANTINS,Dulce Miranda,PMDB,Sim
TOCANTINS,Irajá Abreu,PSD,Não
TOCANTINS,Josi Nunes,PMDB,Sim
TOCANTINS,Lázaro Botelho,PP,Sim
TOCANTINS,Professora Dorinha Seabra Rezende,DEM,Sim
TOCANTINS,Vicentinho Júnior,PR,Ausente
MARANHÃO,Aluisio Mendes,PODE,Sim
MARANHÃO,André Fufuca,PP,Sim
MARANHÃO,Cleber Verde,PRB,Sim
MARANHÃO,Deoclides Macedo,PDT,Não
MARANHÃO,Eliziane Gama,PPS,Não
MARANHÃO,Hildo Rocha,PMDB,Sim
MARANHÃO,João Marcelo Souza,PMDB,Sim
MARANHÃO,José Reinaldo,PSB,Sim
MARANHÃO,Junior Marreca,PEN,Sim
MARANHÃO,Juscelino Filho,DEM,Sim
MARANHÃO,Luana Costa,PSB,Não
MARANHÃO,Pedro Fernandes,PTB,Sim
MARANHÃO,Rubens Pereira Júnior,PCdoB,Não
MARANHÃO,Sarney Filho,PV,Sim
MARANHÃO,Victor Mendes,PSD,Sim
MARANHÃO,Waldir Maranhão,PP,Não
MARANHÃO,Weverton Rocha,PDT,Não
MARANHÃO,Zé Carlos,PT,Não
CEARÁ,André Figueiredo,PDT,Não
CEARÁ,Aníbal Gomes,PMDB,Sim
CEARÁ,Ariosto Holanda,PDT,Não
CEARÁ,Cabo Sabino,PR,Não
CEARÁ,Chico Lopes,PCdoB,Não
CEARÁ,Danilo Forte,PSB,Sim
CEARÁ,Domingos Neto,PSD,Sim
CEARÁ,Genecias Noronha,Solidaried,Sim
CEARÁ,Gorete Pereira,PR,Sim
CEARÁ,José Airton Cirilo,PT,Não
CEARÁ,José Guimarães,PT,Não
CEARÁ,Leônidas Cristino,PDT,Não
CEARÁ,Luizianne Lins,PT,Não
CEARÁ,Macedo,PP,Sim
CEARÁ,Moses Rodrigues,PMDB,Sim
CEARÁ,Odorico Monteiro,PSB,Não
CEARÁ,Paulo Henrique Lustosa,PP,Sim
CEARÁ,Raimundo Gomes de Matos,PSDB,Ausente
CEARÁ,Ronaldo Martins,PRB,Não
CEARÁ,Vaidon Oliveira,DEM,Sim
CEARÁ,Vitor Valim,PMDB,Não
PIAUÍ,Assis Carvalho,PT,Não
PIAUÍ,Átila Lira,PSB,Sim
PIAUÍ,Heráclito Fortes,PSB,Sim
PIAUÍ,Iracema Portella,PP,Sim
PIAUÍ,Júlio Cesar,PSD,Sim
PIAUÍ,Maia Filho,PP,Sim
PIAUÍ,Marcelo Castro,PMDB,Ausente
PIAUÍ,Paes Landim,PTB,Sim
PIAUÍ,Rodrigo Martins,PSB,Não
PIAUÍ,Silas Freire,PODE,Não
RIO GRANDE DO NORTE,Antônio Jácome,PODE,Não
RIO GRANDE DO NORTE,Beto Rosado,PP,Sim
RIO GRANDE DO NORTE,Fábio Faria,PSD,Sim
RIO GRANDE DO NORTE,Felipe Maia,DEM,Sim
RIO GRANDE DO NORTE,Rafael Motta,PSB,Não
RIO GRANDE DO NORTE,Rogério Marinho,PSDB,Sim
RIO GRANDE DO NORTE,Walter Alves,PMDB,Sim
RIO GRANDE DO NORTE,Zenaide Maia,PR,Não
PARAÍBA,Aguinaldo Ribeiro,PP,Sim
PARAÍBA,André Amaral,PMDB,Sim
PARAÍBA,Benjamin Maranhão,Solidarie,Sim
PARAÍBA,Damião Feliciano,PDT,Não
PARAÍBA,Efraim Filho,DEM,Sim
PARAÍBA,Hugo Motta,PMDB,Sim
PARAÍBA,Luiz Couto,PT,Não
PARAÍBA,Pedro Cunha Lima,PSDB,Não
PARAÍBA,Rômulo Gouveia,PSD,Sim
PARAÍBA,Veneziano Vital do Rêgo,PMDB,Não
PARAÍBA,Wellington Roberto,PR,Não
PARAÍBA,Wilson Filho,PTB,Ausente
PERNAMBUCO,Adalberto Cavalcanti,PTB,Sim
PERNAMBUCO,André de Paula,PSD,Não
PERNAMBUCO,Augusto Coutinho,Solidaried,Sim
PERNAMBUCO,Betinho Gomes,PSDB,Não
PERNAMBUCO,Bruno Araújo,PSDB,Sim
PERNAMBUCO,Daniel Coelho,PSDB,Não
PERNAMBUCO,Danilo Cabral,PSB,Não
PERNAMBUCO,Eduardo da Fonte,PP,Sim
PERNAMBUCO,Fernando Coelho Filho,PSB,Sim
PERNAMBUCO,Fernando Monteiro,PP,Sim
PERNAMBUCO,Gonzaga Patriota,PSB,Não
PERNAMBUCO,Jarbas Vasconcelos,PMDB,Não
PERNAMBUCO,João Fernando Coutinho,PSB,Ausente
PERNAMBUCO,Jorge Côrte Real,PTB,Sim
PERNAMBUCO,Luciana Santos,PCdoB,Não
PERNAMBUCO,Luciano Bivar,PSL,Sim
PERNAMBUCO,Marinaldo Rosendo,PSB,Sim
PERNAMBUCO,Mendonça Filho,DEM,Sim
PERNAMBUCO,Pastor Eurico,PHS,Não
PERNAMBUCO,Ricardo Teobaldo,PODE,Sim
PERNAMBUCO,Sebastião Oliveira,PR,Sim
PERNAMBUCO,Silvio Costa,PTdoB,Não
PERNAMBUCO,Tadeu Alencar,PSB,Não
PERNAMBUCO,Wolney Queiroz,PDT,Não
PERNAMBUCO,Zeca Cavalcanti,PTB,Sim
ALAGOAS,Arthur Lira,PP,Sim
ALAGOAS,Cícero Almeida,PMDB,Sim
ALAGOAS,Givaldo Carimbão,PHS,Não
ALAGOAS,JHC,PSB,Não
ALAGOAS,Marx Beltrão,PMDB,Sim
ALAGOAS,Maurício Quintella Lessa,PR,Sim
ALAGOAS,Paulão,PT,Não
ALAGOAS,Pedro Vilela,PSDB,Ausente
ALAGOAS,Ronaldo Lessa,PDT,Não
SERGIPE,Adelson Barreto,PR,Não
SERGIPE,Andre Moura,PSC,Sim
SERGIPE,Fábio Mitidieri,PSD,Não
SERGIPE,Fabio Reis,PMDB,Sim
SERGIPE,João Daniel,PT,Não
SERGIPE,Jony Marcos,PRB,Não
SERGIPE,Laercio Oliveira,Solidaried,Não
SERGIPE,Valadares Filho,PSB,Não
BAHIA,Afonso Florence,PT,Não
BAHIA,Alice Portugal,PCdoB,Não
BAHIA,Antonio Brito,PSD,Não
BAHIA,Antonio Imbassahy,PSDB,Sim
BAHIA,Arthur Oliveira Maia,PPS,Sim
BAHIA,Bacelar,PODE,Não
BAHIA,Bebeto,PSB,Não
BAHIA,Benito Gama,PTB,Sim
BAHIA,Cacá Leão,PP,Sim
BAHIA,Caetano,PT,Não
BAHIA,Claudio Cajado,DEM,Sim
BAHIA,Daniel Almeida,PCdoB,Não
BAHIA,Elmar Nascimento,DEM,Sim
BAHIA,Erivelton Santana,PEN,Sim
BAHIA,Félix Mendonça Júnior,PDT,Não
BAHIA,Fernando Torres,PSD,Não
BAHIA,Irmão Lazaro,PSC,Não
BAHIA,João Carlos Bacelar,PR,Sim
BAHIA,João Gualberto,PSDB,Não
BAHIA,Jorge Solla,PT,Não
BAHIA,José Carlos Aleluia,DEM,Sim
BAHIA,José Carlos Araújo,PR,Sim
BAHIA,José Nunes,PSD,Não
BAHIA,José Rocha,PR,Sim
BAHIA,Josias Gomes,PT,Não
BAHIA,Jutahy Junior,PSDB,Não
BAHIA,Lucio Vieira Lima,PMDB,Sim
BAHIA,Márcio Marinho,PRB,Sim
BAHIA,Mário Negromonte Jr,PP,Sim
BAHIA,Nelson Pellegrino,PT,Não
BAHIA,Pastor Luciano Braga,PRB,Sim
BAHIA,Paulo Azi,DEM,Sim
BAHIA,Paulo Magalhães,PSD,Não
BAHIA,Roberto Britto,PP,Sim
BAHIA,Ronaldo Carletto,PP,Ausente
BAHIA,Sérgio Brito,PSD,Não
BAHIA,Uldurico Junior,PV,Não
BAHIA,Valmir Assunção,PT,Não
BAHIA,Waldenor Pereira,PT,Não
MINAS GERAIS,Adelmo Carneiro Leão,PT,Não
MINAS GERAIS,Ademir Camilo,PODE,Sim
MINAS GERAIS,Aelton Freitas,PR,Sim
MINAS GERAIS,Bilac Pinto,PR,Sim
MINAS GERAIS,Bonifácio de Andrada,PSDB,Sim
MINAS GERAIS,Brunny,PR,Sim
MINAS GERAIS,Caio Narcio,PSDB,Sim
MINAS GERAIS,Carlos Melles,DEM,Sim
MINAS GERAIS,Dâmina Pereira,PSL,Sim
MINAS GERAIS,Delegado Edson Moreira,PR,Sim
MINAS GERAIS,Diego Andrade,PSD,Sim
MINAS GERAIS,Dimas Fabiano,PP,Sim
MINAS GERAIS,Domingos Sávio,PSDB,Sim
MINAS GERAIS,Eduardo Barbosa,PSDB,Ausente
MINAS GERAIS,Eros Biondini,PROS,Não
MINAS GERAIS,Fábio Ramalho,PMDB,Sim
MINAS GERAIS,Franklin,PP,Sim
MINAS GERAIS,Gabriel Guimarães,PT,Não
MINAS GERAIS,George Hilton,PSB,Não
MINAS GERAIS,Jaime Martins,PSD,Sim
MINAS GERAIS,Jô Moraes,PCdoB,Não
MINAS GERAIS,Júlio Delgado,PSB,Não
