ESTADO,Deputado,Partido,Voto
RORAIMA,Abel Mesquita Jr.,DEM,Não
RORAIMA,Carlos Andrade,PHS,Não
RORAIMA,Edio Lopes,PR,Sim
RORAIMA,Hiran Gonçalves,PP,Sim
RORAIMA,Maria Helena,PSB,Sim
RORAIMA,Remídio Monai,PR,Sim
RORAIMA,Shéridan,PSDB,Sim
AMAPÁ,André Abdon,PP,Sim
AMAPÁ,Janete Capiberibe,PSB,Não
AMAPÁ,Marcos Reategui,PSD,Sim
AMAPÁ,Professora Marcivania,PCdoB,Não
AMAPÁ,Roberto Góes,PDT,Não
PARÁ,Arnaldo Jordy,PPS,Sim
PARÁ,Beto Faro,PT,Não
PARÁ,Beto Salame,PP,Sim
PARÁ,Delegado Éder Mauro,PSD,Sim
PARÁ,Edmilson Rodrigues,PSOL,Não
PARÁ,Elcione Barbalho,PMDB,Sim
PARÁ,Hélio Leite,DEM,Não
PARÁ,Joaquim Passarinho,PSD,Sim
PARÁ,José Priante,PMDB,Sim
PARÁ,Josué Bengtson,PTB,Abstenção
PARÁ,Júlia Marinho,PSC,Não
PARÁ,Lúcio Vale,PR,Não
PARÁ,Nilson Pinto,PSDB,Sim
PARÁ,Simone Morgado,PMDB,Não
PARÁ,Wladimir Costa,Solidaried,Sim
PARÁ,Zé Geraldo,PT,Não
AMAZONAS,Alfredo Nascimento,PR,Sim
AMAZONAS,Arthur Virgílio Bisneto,PSDB,Sim
AMAZONAS,Conceição Sampaio,PP,Sim
AMAZONAS,Hissa Abrahão,PDT,Não
AMAZONAS,Pauderney Avelino,DEM,Sim
AMAZONAS,Sabino Castelo Branco,PTB,Sim
RONDONIA,Expedito Netto,PSD,Não
RONDONIA,Lindomar Garçon,PRB,Não
RONDONIA,Luiz Cláudio,PR,Não
RONDONIA,Marcos Rogério,DEM,Sim
RONDONIA,Marinha Raupp,PMDB,Não
RONDONIA,Nilton Capixaba,PTB,Sim
ACRE,Alan Rick,PRB,Não
ACRE,Angelim,PT,Não
ACRE,César Messias,PSB,Não
ACRE,Flaviano Melo,PMDB,Sim
ACRE,Leo de Brito,PT,Não
ACRE,Rocha,PSDB,Não
TOCANTINS,Carlos Henrique Gaguim,PTN,Sim
TOCANTINS,Dulce Miranda,PMDB,Sim
TOCANTINS,Irajá Abreu,PSD,Sim
TOCANTINS,Josi Nunes,PMDB,Sim
TOCANTINS,Lázaro Botelho,PP,Sim
TOCANTINS,Professora Dorinha Seabra Rezende,DEM,Sim
TOCANTINS,Vicentinho Júnior,PR,Não
MARANHÃO,Aluisio Mendes,PTN,Sim
MARANHÃO,André Fufuca,PP,Não
MARANHÃO,Eliziane Gama,PPS,Sim
MARANHÃO,Hildo Rocha,PMDB,Sim
MARANHÃO,João Marcelo Souza,PMDB,Sim
MARANHÃO,José Reinaldo,PSB,Sim
MARANHÃO,Julião Amin Castro,PDT,Não
MARANHÃO,Junior Marreca,PEN,Sim
MARANHÃO,Juscelino Filho,DEM,Sim
MARANHÃO,Luana Costa,PSB,Sim
MARANHÃO,Pedro Fernandes,PTB,Sim
MARANHÃO,Rubens Pereira Júnior,PCdoB,Não
MARANHÃO,Victor Mendes,PSD,Sim
MARANHÃO,Waldir Maranhão,PP,Não
MARANHÃO,Zé Carlos,PT,Não
CEARÁ,Adail Carneiro,PP,Sim
CEARÁ,André Figueiredo,PDT,Não
CEARÁ,Cabo Sabino,PR,Sim
CEARÁ,Chico Lopes,PCdoB,Não
CEARÁ,Danilo Forte,PSB,Sim
CEARÁ,Domingos Neto,PSD,Sim
CEARÁ,Genecias Noronha,Solidaried,Sim
CEARÁ,Gorete Pereira,PR,Não
CEARÁ,José Guimarães,PT,Não
CEARÁ,Leônidas Cristino,PDT,Não
CEARÁ,Macedo,PP,Sim
CEARÁ,Moses Rodrigues,PMDB,Sim
CEARÁ,Odorico Monteiro,PROS,Não
CEARÁ,Paulo Henrique Lustosa,PP,Sim
CEARÁ,Raimundo Gomes de Matos,PSDB,Sim
CEARÁ,Ronaldo Martins,PRB,Não
CEARÁ,Vaidon Oliveira,DEM,Sim
PIAUÍ,Assis Carvalho,PT,Sim
PIAUÍ,Átila Lira,PSB,Sim
PIAUÍ,Heráclito Fortes,PSB,Sim
PIAUÍ,Iracema Portella,PP,Sim
PIAUÍ,Júlio Cesar,PSD,Sim
PIAUÍ,Maia Filho,PP,Sim
PIAUÍ,Marcelo Castro,PMDB,Sim
PIAUÍ,Paes Landim,PTB,Sim
PIAUÍ,Rodrigo Martins,PSB,Não
RIO GRANDE DO NORTE,Antônio Jácome,PTN,Sim
RIO GRANDE DO NORTE,Fábio Faria,PSD,Sim
RIO GRANDE DO NORTE,Felipe Maia,DEM,Sim
RIO GRANDE DO NORTE,Rafael Motta,PSB,Sim
RIO GRANDE DO NORTE,Rogério Marinho,PSDB,Sim
RIO GRANDE DO NORTE,Walter Alves,PMDB,Sim
RIO GRANDE DO NORTE,Zenaide Maia,PR,Não
PARAÍBA,André Amaral,PMDB,Não
PARAÍBA,Benjamin Maranhão,Solidaried,Sim
PARAÍBA,Damião Feliciano,PDT,Não
PARAÍBA,Hugo Motta,PMDB,Não
PARAÍBA,Luiz Couto,PT,Não
PARAÍBA,Pedro Cunha Lima,PSDB,Sim
PARAÍBA,Rômulo Gouveia,PSD,Não
PARAÍBA,Veneziano Vital do Rêgo,PMDB,Não
PARAÍBA,Wellington Roberto,PR,Não
PARAÍBA,Wilson Filho,PTB,Sim
PERNAMBUCO,Adalberto Cavalcanti,PTB,Sim
PERNAMBUCO,André de Paula,PSD,Sim
PERNAMBUCO,Augusto Coutinho,Solidaried,Sim
PERNAMBUCO,Betinho Gomes,PSDB,Sim
PERNAMBUCO,Carlos Eduardo Cadoca,PDT,Sim
PERNAMBUCO,Creuza Pereira,PSB,Sim
PERNAMBUCO,Daniel Coelho,PSDB,Sim
PERNAMBUCO,Danilo Cabral,PSB,Sim
PERNAMBUCO,Eduardo da Fonte,PP,Sim
PERNAMBUCO,Fernando Monteiro,PP,Sim
PERNAMBUCO,Gonzaga Patriota,PSB,Não
PERNAMBUCO,Guilherme Coelho,PSDB,Sim
PERNAMBUCO,Jarbas Vasconcelos,PMDB,Sim
PERNAMBUCO,João Fernando Coutinho,PSB,Sim
PERNAMBUCO,Jorge Côrte Real,PTB,Sim
PERNAMBUCO,Kaio Maniçoba,PMDB,Não
PERNAMBUCO,Marinaldo Rosendo,PSB,Sim
PERNAMBUCO,Pastor Eurico,PHS,Não
PERNAMBUCO,Ricardo Teobaldo,PTN,Não
PERNAMBUCO,Severino Ninho,PSB,Sim
PERNAMBUCO,Silvio Costa,PTdoB,Não
PERNAMBUCO,Tadeu Alencar,PSB,Sim
PERNAMBUCO,Zeca Cavalcanti,PTB,Não
ALAGOAS,Cícero Almeida,PMDB,Sim
ALAGOAS,Givaldo Carimbão,PHS,Não
ALAGOAS,JHC,PSB,Não
ALAGOAS,Nivaldo Albuquerque,PRP,Sim
ALAGOAS,Paulão,PT,Não
ALAGOAS,Pedro Vilela,PSDB,Sim
SERGIPE,Adelson Barreto,PR,Não
SERGIPE,Andre Moura,PSC,Sim
SERGIPE,Fábio Mitidieri,PSD,Não
SERGIPE,Fabio Reis,PMDB,Não
SERGIPE,João Daniel,PT,Não
SERGIPE,Jony Marcos,PRB,Não
SERGIPE,Laercio Oliveira,Solidaried,Não
SERGIPE,Valadares Filho,PSB,Sim
BAHIA,Afonso Florence,PT,Não
BAHIA,Alice Portugal,PCdoB,Não
BAHIA,Arthur Oliveira Maia,PPS,Sim
BAHIA,Bacelar,PTN,Não
BAHIA,Bebeto,PSB,Não
BAHIA,Benito Gama,PTB,Sim
BAHIA,Cacá Leão,PP,Sim
BAHIA,Caetano,PT,Não
BAHIA,Claudio Cajado,DEM,Sim
BAHIA,Daniel Almeida,PCdoB,Não
BAHIA,Elmar Nascimento,DEM,Sim
BAHIA,Erivelton Santana,PEN,Não
BAHIA,Félix Mendonça Júnior,PDT,Não
BAHIA,João Gualberto,PSDB,Sim
BAHIA,Jorge Solla,PT,Não
BAHIA,José Carlos Aleluia,DEM,Sim
BAHIA,José Carlos Araújo,PR,Sim
BAHIA,José Nunes,PSD,Sim
BAHIA,Jutahy Junior,PSDB,Sim
BAHIA,Lucio Vieira Lima,PMDB,Sim
BAHIA,Márcio Marinho,PRB,Sim
BAHIA,Mário Negromonte Jr.,PP,Não
BAHIA,Nelson Pellegrino,PT,Não
BAHIA,Paulo Azi,DEM,Sim
BAHIA,Paulo Magalhães,PSD,Sim
BAHIA,Pr. Luciano Braga,PRB,Sim
BAHIA,Roberto Britto,PP,Sim
BAHIA,Robinson Almeida,PT,Não
BAHIA,Ronaldo Carletto,PP,Sim
BAHIA,Sérgio Brito,PSD,Sim
BAHIA,Valmir Assunção,PT,Não
BAHIA,Waldenor Pereira,PT,Não
MINAS GERAIS,Adelmo Carneiro Leão,PT,Não
MINAS GERAIS,Ademir Camilo,PTN,Sim
MINAS GERAIS,Aelton Freitas,PR,Sim
MINAS GERAIS,Bilac Pinto,PR,Sim
MINAS GERAIS,Bonifácio de Andrada,PSDB,Sim
MINAS GERAIS,Caio Narcio,PSDB,Sim
MINAS GERAIS,Carlos Melles,DEM,Sim
MINAS GERAIS,Dâmina Pereira,PSL,Sim
MINAS GERAIS,Delegado Edson Moreira,PR,Sim
MINAS GERAIS,Dimas Fabiano,PP,Sim
MINAS GERAIS,Domingos Sávio,PSDB,Sim
MINAS GERAIS,Eduardo Barbosa,PSDB,Sim
MINAS GERAIS,Eros Biondini,PROS,Sim
MINAS GERAIS,Franklin Lima,PP,Sim
MINAS GERAIS,Gabriel Guimarães,PT,Sim
MINAS GERAIS,George Hilton,PSB,Não
MINAS GERAIS,Jaime Martins,PSD,Sim
MINAS GERAIS,Jô Moraes,PCdoB,Não
MINAS GERAIS,Júlio Delgado,PSB,Sim
MINAS GERAIS,Leonardo Monteiro,PT,Não
MINAS GERAIS,Leonardo Quintão,PMDB,Sim
MINAS GERAIS,Lincoln Portela,PRB,Não
MINAS GERAIS,Luis Tibé,PTdoB,Sim
MINAS GERAIS,Luiz Fernando Faria,PP,Sim
MINAS GERAIS,Marcelo Álvaro Antônio,PR,Sim
MINAS GERAIS,Marcelo Aro,PHS,Sim
MINAS GERAIS,Marcos Montes,PSD,Sim
MINAS GERAIS,Marcus Pestana,PSDB,Sim
MINAS GERAIS,Margarida Salomão,PT,Não
MINAS GERAIS,Mário Heringer,PDT,Não
MINAS GERAIS,Mauro Lopes,PMDB,Sim
MINAS GERAIS,Padre João,PT,Não
MINAS GERAIS,Patrus Ananias,PT,Não
MINAS GERAIS,Paulo Abi-Ackel,PSDB,Sim
MINAS GERAIS,Raquel Muniz,PSD,Sim
MINAS GERAIS,Reginaldo Lopes,PT,Não
MINAS GERAIS,Renato Andrade,PP,Sim
MINAS GERAIS,Renzo Braz,PP,Sim
MINAS GERAIS,Rodrigo de Castro,PSDB,Sim
MINAS GERAIS,Rodrigo Pacheco,PMDB,Sim
MINAS GERAIS,Stefano Aguiar,PSD,Sim
MINAS GERAIS,Subtenente Gonzaga,PDT,Não
MINAS GERAIS,Tenente Lúcio,PSB,Sim
MINAS GERAIS,Toninho Pinheiro,PP,Sim
MINAS GERAIS,Weliton Prado,PMB,Não
MINAS GERAIS,Zé Silva,Solidaried,Sim
ESPÍRITO SANTO,Carlos Manato,Solidaried,Sim
ESPÍRITO SANTO,Dr. Jorge Silva,PHS,Não
ESPÍRITO SANTO,Evair Vieira de Melo,PV,Não
ESPÍRITO SANTO,Givaldo Vieira,PT,Não
